batch_id,config_local,ro_count,target_ro_lut_pct,timing_status,wns,lut_count,ff_count,bram_count,dsp_count,bin_exists,bin_path
STAND_FP08,10,91280,21.0,FAIL,-1.313,282736,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it4_big_ro/jobs_banked4096/part1/S023_STAND_FP08_c10_ro_91280/build_hw/bitstreams/config_0/vfpga_c0_0.bin
STAND_FP08,11,97800,22.5,FAIL,-0.619,302296,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it4_big_ro/jobs_banked4096/part1/S024_STAND_FP08_c11_ro_97800/build_hw/bitstreams/config_0/vfpga_c0_0.bin
STAND_FP08,12,108666,25.0,FAIL,-0.907,334894,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it4_big_ro/jobs_banked4096/part1/S025_STAND_FP08_c12_ro_108666/build_hw/bitstreams/config_0/vfpga_c0_0.bin
STAND_FP09,0,26080,6.0,FAIL,-1.402,87136,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it4_big_ro/jobs_banked4096/part1/S026_STAND_FP09_c00_ro_26080/build_hw/bitstreams/config_0/vfpga_c0_0.bin
STAND_FP09,1,32600,7.5,FAIL,-1.693,106696,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it4_big_ro/jobs_banked4096/part1/S027_STAND_FP09_c01_ro_32600/build_hw/bitstreams/config_0/vfpga_c0_0.bin
STAND_FP09,2,39120,9.0,FAIL,-2.291,126256,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it4_big_ro/jobs_banked4096/part1/S028_STAND_FP09_c02_ro_39120/build_hw/bitstreams/config_0/vfpga_c0_0.bin
STAND_FP09,3,45640,10.5,FAIL,-2.661,145816,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it4_big_ro/jobs_banked4096/part1/S029_STAND_FP09_c03_ro_45640/build_hw/bitstreams/config_0/vfpga_c0_0.bin
STAND_FP09,4,52160,12.0,FAIL,-2.856,165376,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it4_big_ro/jobs_banked4096/part1/S030_STAND_FP09_c04_ro_52160/build_hw/bitstreams/config_0/vfpga_c0_0.bin
STAND_FP09,5,58680,13.5,FAIL,-2.577,184936,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it4_big_ro/jobs_banked4096/part1/S031_STAND_FP09_c05_ro_58680/build_hw/bitstreams/config_0/vfpga_c0_0.bin
STAND_FP09,6,65200,15.0,FAIL,-2.358,204496,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it4_big_ro/jobs_banked4096/part1/S032_STAND_FP09_c06_ro_65200/build_hw/bitstreams/config_0/vfpga_c0_0.bin
